Time,Operator,Technology,MCC / MNC,gNB,RF Band,Num Beams,SCS,Bandwidth DL,Bandwidth UL,TDD Slot Pattern,SS-RSRP​ (PCell),SS-RSRQ​ (PCell),SS-SINR​ (PCell),PCI / SSB​ (PCell),UE connectivity mode,BLER,Average RBs,Average MCS Index,Average Code Rate,Net PDSCH Thp​ (PCell),Num PUSCH Carrier,Num PDSCH Carrier,Retransmission,Average RBs,Average MCS Index,Net PUSCH Thp,PUSCH TxPower,PUSCH Pathloss,RSRP​ (PCell),RSRQ​ (PCell),RSSI​ (PCell),PCI​ (PCell),Bandwidth​ (PCell),eNB,RF Band​ (PCell),BLER​ (PCell),Avg RB count​ (PCell),MCS Index​ (PCell),PUSCH Thrpt​ (PCell),PDSCH Thrpt​ (PCell),Retransmission Rate​ (PCell),TxPower​ (PCell),Lat,Long,Sats used,Accuracy,IP Thrpt UL,IP Thrpt DL,SINR Rx[0]​ (PCell),Level
2025-02-05 10:32:47.469,TUNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:32:47.469,TUNI,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:32:47.469,TUNI,LTE,244 / 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:32:47.469,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:32:47.469,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:32:47.469,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05 10:32:47.469,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,,
2025-02-05 10:32:52.109,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-88.3,-10.6,18.2,53/0,,,,,,,,,,,,,,,,,,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,,
2025-02-05 10:32:52.135,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-88.3,-10.6,18.2,53/0,,,,,,,,,,,,,,,-100.5,-7.1,-79.3,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,15.4,
2025-02-05 10:32:52.253,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-88.3,-10.6,18.2,53/0,,,,,,,,,,,,,,,-100.5,-7.1,-79.3,42,5,440,Band 3 - 1800,,,,0.0,,,,,,,,,,15.4,
2025-02-05 10:32:52.283,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-88.3,-10.6,18.2,53/0,,,,,,,,,,,,,,,-100.5,-7.1,-79.3,42,5,440,Band 3 - 1800,,,,0.017,,0.0,22.0,,,,,,,15.4,
2025-02-05 10:32:52.377,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-88.3,-10.6,18.2,53/0,,,,,,,,,,,,,,,-100.5,-7.1,-79.3,42,5,440,Band 3 - 1800,,,,0.0,,0.0,22.0,,,,,,,15.4,
2025-02-05 10:32:52.463,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-88.3,-10.6,18.2,53/0,,,,,,,,,,,,,,,-100.0,-6.8,-79.2,42,5,440,Band 3 - 1800,,,,0.0,,0.0,22.0,,,,,,,16.7,
2025-02-05 10:32:52.483,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-88.3,-10.6,18.2,53/0,,,,,,,,,,,,,,,-100.0,-6.8,-79.2,42,5,440,Band 3 - 1800,,,,0.0,0.0,0.0,22.0,,,,,,,16.7,
2025-02-05 10:32:52.500,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-88.3,-10.6,18.2,53/0,,,,,,,,,,,,,,,-100.0,-6.8,-79.2,42,5,440,Band 3 - 1800,,,,0.0,0.0,0.0,22.0,,,,,0.0,,16.7,
2025-02-05 10:32:52.500,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-88.3,-10.6,18.2,53/0,,,,,,,,,,,,,,,-100.0,-6.8,-79.2,42,5,440,Band 3 - 1800,,,,0.0,0.0,0.0,22.0,,,,,0.0,0.0,16.7,
2025-02-05 10:32:52.513,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-88.3,-10.6,18.2,53/0,,,,,,,,,,,,,,,-100.0,-6.8,-79.2,42,5,440,Band 3 - 1800,0.0,2,1.0,0.0,0.002,0.0,22.0,,,,,0.0,0.0,16.7,
2025-02-05 10:32:52.536,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-81.3,-10.4,,53/0,,,,,,,,,,,,,,,-100.0,-6.8,-79.2,42,5,440,Band 3 - 1800,0.0,2,1.0,0.0,0.002,0.0,22.0,,,,,0.0,0.0,16.7,
2025-02-05 10:32:52.854,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,,,,,,,,,,,,,,-100.0,-6.8,-79.2,42,5,440,Band 3 - 1800,0.0,2,1.0,0.0,0.002,0.0,22.0,,,,,0.0,0.0,16.7,
2025-02-05 10:32:52.971,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,,,,,,,,,,,,,,-100.2,-6.8,-79.4,42,5,440,Band 3 - 1800,0.0,2,1.0,0.0,0.002,0.0,22.0,,,,,0.0,0.0,15.5,
2025-02-05 10:32:53.038,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,,,,,,,,,,,,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,2,1.0,0.0,0.002,0.0,22.0,,,,,0.0,0.0,15.4,
2025-02-05 10:32:53.177,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,,,,,,,,,,,,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,2,1.0,0.018,0.002,0.0,21.5,,,,,0.0,0.0,15.4,
2025-02-05 10:32:53.268,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,,,,,,,1,,,,,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,2,1.0,0.018,0.002,0.0,21.5,,,,,0.0,0.0,15.4,
2025-02-05 10:32:53.268,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,0.0,,,,0.0,,1,,,,,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,2,1.0,0.018,0.002,0.0,21.5,,,,,0.0,0.0,15.4,
2025-02-05 10:32:53.273,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,0.0,,,,0.0,1,1,,,,,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,2,1.0,0.018,0.002,0.0,21.5,,,,,0.0,0.0,15.4,
2025-02-05 10:32:53.273,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,0.0,,,,0.0,1,1,,,,0.0,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,2,1.0,0.018,0.002,0.0,21.5,,,,,0.0,0.0,15.4,
2025-02-05 10:32:53.298,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,0.0,48,9.0,27.72,0.534,1,1,,,,0.0,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,2,1.0,0.018,0.002,0.0,21.5,,,,,0.0,0.0,15.4,
2025-02-05 10:32:53.303,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,0.0,48,9.0,27.72,0.534,1,1,0.0,3,0.0,0.003,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,2,1.0,0.018,0.002,0.0,21.5,,,,,0.0,0.0,15.4,
2025-02-05 10:32:53.372,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,0.0,48,9.0,27.72,0.534,1,1,0.0,3,0.0,0.003,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,11,12.6 (64-QAM),0.018,0.058,0.0,21.5,,,,,0.0,0.0,15.4,
2025-02-05 10:32:53.500,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,0.0,48,9.0,27.72,0.534,1,1,0.0,3,0.0,0.003,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,11,12.6 (64-QAM),0.018,0.058,0.0,21.5,,,,,0.093,0.0,15.4,
2025-02-05 10:32:53.500,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-82.2,-10.4,24.6,53/0,,0.0,48,9.0,27.72,0.534,1,1,0.0,3,0.0,0.003,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,11,12.6 (64-QAM),0.018,0.058,0.0,21.5,,,,,0.093,0.15,15.4,
2025-02-05 10:32:53.500,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-81.1,-10.4,27.3,53/0,,0.0,48,9.0,27.72,0.534,1,1,0.0,3,0.0,0.003,,,-101.1,-7.4,-79.3,42,5,440,Band 3 - 1800,0.0,11,12.6 (64-QAM),0.018,0.058,0.0,21.5,,,,,0.093,0.15,15.4,
2025-02-05 10:32:53.539,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-81.1,-10.4,27.3,53/0,,0.0,48,9.0,27.72,0.534,1,1,0.0,3,0.0,0.003,,,-101.8,-7.1,-80.5,42,5,440,Band 3 - 1800,0.0,11,12.6 (64-QAM),0.018,0.058,0.0,21.5,,,,,0.093,0.15,14.6,
2025-02-05 10:32:53.548,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-81.1,-10.4,27.3,53/0,,0.0,48,9.0,27.72,0.534,1,1,0.0,3,0.0,0.003,,,-101.8,-7.1,-80.5,42,5,440,Band 3 - 1800,0.0,11,12.6 (64-QAM),0.101,0.058,0.0,21.0,,,,,0.093,0.15,14.6,
2025-02-05 10:32:53.639,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-81.1,-10.4,27.3,53/0,,0.0,16,2.4,19.02,0.095,1,1,0.0,3,0.0,0.003,,,-101.8,-7.1,-80.5,42,5,440,Band 3 - 1800,0.0,11,12.6 (64-QAM),0.101,0.058,0.0,21.0,,,,,0.093,0.15,14.6,
2025-02-05 10:32:53.646,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-81.1,-10.4,27.3,53/0,,0.0,16,2.4,19.02,0.095,1,1,0.0,3,17.4,0.049,22.0,90.0,-101.8,-7.1,-80.5,42,5,440,Band 3 - 1800,0.0,11,12.6 (64-QAM),0.101,0.058,0.0,21.0,,,,,0.093,0.15,14.6,
2025-02-05 10:32:53.692,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-81.1,-10.4,27.3,53/0,,0.0,16,2.4,19.02,0.095,1,1,0.0,3,17.4,0.049,22.0,90.0,-101.8,-7.1,-80.5,42,5,440,Band 3 - 1800,0.0,2,1.0,0.101,0.001,0.0,21.0,,,,,0.093,0.15,14.6,
2025-02-05 10:32:53.803,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-83.6,-10.4,28.4,53/0,,0.0,16,2.4,19.02,0.095,1,1,0.0,3,17.4,0.049,22.0,90.0,-101.8,-7.1,-80.5,42,5,440,Band 3 - 1800,0.0,2,1.0,0.101,0.001,0.0,21.0,,,,,0.093,0.15,14.6,
2025-02-05 10:32:53.833,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-83.6,-10.4,28.4,53/0,,0.0,16,2.4,19.02,0.095,1,1,0.0,3,17.4,0.049,22.0,90.0,-102.5,-6.9,-81.6,42,5,440,Band 3 - 1800,0.0,2,1.0,0.101,0.001,0.0,21.0,,,,,0.093,0.15,13.8,
